Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"ABCC8","ATP Binding Cassette Subfamily C Member 8","Protein Coding","Q09428","58","GC11M017392","93.8266067504883","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC8"
"WFS1","Wolframin ER Transmembrane Glycoprotein","Protein Coding","O76024","58","GC04P006269","88.2255859375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WFS1"
"INS","Insulin","Protein Coding","P01308","61","GC11M002159","66.2943725585938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS"
"HNF1A","HNF1 Homeobox A","Protein Coding","P20823","59","GC12P120978","65.0380249023438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF1A"
"AKT2","AKT Serine/Threonine Kinase 2","Protein Coding","P31751","66","GC19M040230","64.5149459838867","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT2"
"KCNJ11","Potassium Inwardly Rectifying Channel Subfamily J Member 11","Protein Coding","Q14654","58","GC11M018031","62.8851737976074","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNJ11"
"HNF4A","Hepatocyte Nuclear Factor 4 Alpha","Protein Coding","P41235","62","GC20P044355","59.535774230957","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF4A"
"GCK","Glucokinase","Protein Coding","P35557","62","GC07M045514","58.432689666748","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCK"
"HNF1B","HNF1 Homeobox B","Protein Coding","P35680","55","GC17M037686","53.5541877746582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF1B"
"PPARG","Peroxisome Proliferator Activated Receptor Gamma","Protein Coding","P37231","65","GC03P012287","50.8425903320313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG"
"ENPP1","Ectonucleotide Pyrophosphatase/Phosphodiesterase 1","Protein Coding","P22413","62","GC06P131808","49.5579528808594","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENPP1"
"TCF7L2","Transcription Factor 7 Like 2","Protein Coding","Q9NQB0","58","GC10P112950","49.2670745849609","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF7L2"
"PDX1","Pancreatic And Duodenal Homeobox 1","Protein Coding","P52945","58","GC13P028201","48.5976638793945","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDX1"
"LIPC","Lipase C, Hepatic Type","Protein Coding","P11150","58","GC15P058410","47.784366607666","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPC"
"NEUROD1","Neuronal Differentiation 1","Protein Coding","Q13562","55","GC02M181673","47.7294235229492","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEUROD1"
"IRS1","Insulin Receptor Substrate 1","Protein Coding","P35568","61","GC02M226731","44.6609954833984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRS1"
"PAX4","Paired Box 4","Protein Coding","O43316","52","GC07M127610","44.1513977050781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX4"
"SLC2A2","Solute Carrier Family 2 Member 2","Protein Coding","P11168","62","GC03M170996","42.0511817932129","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A2"
"INSR","Insulin Receptor","Protein Coding","P06213","66","GC19M007112","41.6545181274414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INSR"
"IL6","Interleukin 6","Protein Coding","P05231","63","GC07P022725","39.8869705200195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"CAPN10","Calpain 10","Protein Coding","Q9HC96","52","GC02P240586","37.2237014770508","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPN10"
"RETN","Resistin","Protein Coding","Q9HD89","54","GC19P007669","36.9971923828125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RETN"
"SLC30A8","Solute Carrier Family 30 Member 8","Protein Coding","Q8IWU4","53","GC08P116950","35.8959503173828","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC30A8"
"RBPJ","Recombination Signal Binding Protein For Immunoglobulin Kappa J Region","Protein Coding","Q06330","59","GC04P026105","35.4659881591797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBPJ"
