MAPK3	https://pubmed.ncbi.nlm.nih.gov/33387351/
MAPK1	
MAPK8	
MAPK14	
VEGFA	
FGFR1	
TGFB1	
SNAI1	
HIF1A	
CDH2	
BCL2	
CDH1	
BAX	
PRKACA	https://pubmed.ncbi.nlm.nih.gov/36302455/
PRKACB	
PRKACG	
PRKAR1A	
PRKAR1B	
PRKAR2A	
PRKAR2B	
SP1	
DPP4	
IGF2R	
PDIA9	
ITPR2	
SQSTM1	https://pubmed.ncbi.nlm.nih.gov/34635643/
KEAP1	
NFE2L2	
DPP4	
NFE2L2	
KEAP1	
SQSTM1	
CYBA	
ATP6AP2	https://pubmed.ncbi.nlm.nih.gov/38183100/
DPP4	
MAPK8	
SIRT3	
FGFR1	
NFKB1	https://pubmed.ncbi.nlm.nih.gov/38102465/
NFKB2	
RELA	
REL	
NFKBIA	
NFKBIB	
NFKBIE	
IKBKA	
IKBKB	
TNF	
IGF2BP2	
DPP4	
NFKB1	
NFKB2	
TP53	
DPP4	https://pubmed.ncbi.nlm.nih.gov/36936785/
F2RL1	
MAPK1	
MAPK3	
CEBPB	
PDIA9	
ITPR2	
CXCL12	https://pubmed.ncbi.nlm.nih.gov/34483675/
DPP4	
TGFB1	
CXCR4	
CXCR7	
DPP4	https://pubmed.ncbi.nlm.nih.gov/35014677/
KGN	
CREB	
CYP19A1	
CYP11A1	
DPP4	https://pubmed.ncbi.nlm.nih.gov/36949656/
TGFB1	
TGFB2	
COL1A1	
DPP4	https://pubmed.ncbi.nlm.nih.gov/31849507/
AMPK	
STAT3	
JAK2	
STAT3	
IL6	
SOCS3	
BCL2	
MCL1	
CCND1	
VEGF	
CTCF	https://pubmed.ncbi.nlm.nih.gov/34566670/
DPP4	
NLRP3	
ASC	
CASP1	
GSDMD	
IL1B	
MAPK8	https://pubmed.ncbi.nlm.nih.gov/38511978/
MAPK9	
MAPK10	
JUN	
FOS	
ATF2	
DPP4	https://pubmed.ncbi.nlm.nih.gov/34374497/
PAR2	
GSK3B	
PPARGC1A	
MCI	
DPP4	https://pubmed.ncbi.nlm.nih.gov/39510053/
SIRT1	
SMAD2	
SMAD3	
CD26	
ACTA2	
MMP9	
CDH2	
CDH1	
F2R	
GSK3B	
PPARGC1A	
DPP4	https://pubmed.ncbi.nlm.nih.gov/39510053/
SIRT1	
SMAD2	
SMAD3	
CD26	
ACTA2	
MMP9	
CDH2	
CDH1	
F2R	
GSK3B	
PPARGC1A	
DPP4	https://pubmed.ncbi.nlm.nih.gov/38255821/
TGFB1	
ACTA2	
PIK3CA	
AKT1	
NFKB1	
NOTCH1	
SMAD2	
SMAD3	
CD26	
HSD17B2	https://pubmed.ncbi.nlm.nih.gov/21047519/
CYP51	
SC4MOL	
DPP4	https://pubmed.ncbi.nlm.nih.gov/30086287/
GLP1	
GLP1R	
PAR2	https://pubmed.ncbi.nlm.nih.gov/35477273/
COX2	
TP	
NLRP3	
DPP4	
DPP4	https://pubmed.ncbi.nlm.nih.gov/36166219/
BRAF	
ITGA4	
ITGB1	
JUN	
PTK2	
AKT1	
TGFB1	
SIRT1	https://pubmed.ncbi.nlm.nih.gov/33175932/
DPP4	https://pubmed.ncbi.nlm.nih.gov/32281218/
SDF1	
CXCR4	
STAT3	
OPA1	
